Date,Actual,Forecast,Lower_95,Upper_95
2025-05-18,2437,2382.7574336544467,1500.19304712753,3265.3218201813634
2025-05-19,2457,2397.5024838404524,1514.9380973135358,3280.066870367369
2025-05-21,2467,2405.6325224113443,1523.0681358844276,3288.196908938261
2025-05-22,2473,2408.864105722612,1526.2997191956952,3291.4284922495285
2025-05-27,2504,2408.571347866953,1526.0069613400365,3291.13573439387
2025-05-28,2499,2408.3200000062116,1525.7556134792949,3290.8843865331282
2025-05-29,2506,2410.6320224296037,1528.067635902687,3293.1964089565204
2025-06-01,2528,2395.1798881055042,1512.6155015785876,3277.744274632421
2025-06-02,2518,2394.827507167725,1512.2631206408082,3277.3918936946416
2025-06-03,2519,2408.571347866953,1526.0069613400365,3291.13573439387
2025-06-04,2516,2405.6325224113443,1523.0681358844276,3288.196908938261
2025-06-05,2503,2402.022085385114,1519.4576988581975,3284.586471912031
2025-06-08,2507,2393.4119713985124,1510.8475848715957,3275.976357925429
2025-06-09,2516,2406.1616262034327,1523.597239676516,3288.7260127303493
2025-06-10,2511,2409.179392687355,1526.6150061604385,3291.743779214272
2025-06-17,2523,2410.1826884405555,1527.6183019136388,3292.747074967472
2025-06-19,2501,2403.6334259587165,1521.0690394317999,3286.197812485633
2025-06-22,2508,2391.9555889192384,1509.3912023923217,3274.519975446155
2025-06-23,2495,2396.438847741327,1513.8744612144105,3279.003234268244
2025-06-24,2489,2406.0980407441193,1523.5336542172026,3288.662427271036
2025-06-25,2470,2404.162511041711,1521.598124514794,3286.7268975686275
2025-06-26,2447,2403.6334259587165,1521.0690394317999,3286.197812485633
2025-06-29,2413,2386.1867593811353,1503.6223728542186,3268.751145908052
2025-06-30,2407,2396.438847741327,1513.8744612144105,3279.003234268244
2025-07-01,2391,2392.562744875446,1509.998358348529,3275.1271314023625
2025-07-02,2373,2351.256973665989,1468.6925871390722,3233.8213601929056
2025-07-06,2332,2336.3625739486492,1453.7981874217326,3218.926960475566
2025-07-07,2317,2324.9870624573123,1442.4226759303956,3207.551448984229
2025-07-08,2306,2310.413896228926,1427.8495097020095,3192.978282755843
2025-07-09,2281,2308.4783665265177,1425.913979999601,3191.0427530534344
2025-07-10,2252,2279.924426662125,1397.3600401352082,3162.4888131890416
2025-07-13,2204,2247.6997490416247,1365.135362514708,3130.2641355685414
2025-07-14,2181,2185.9738663032304,1303.4094797763137,3068.538252830147
2025-07-15,2171,2198.457480854537,1315.8930943276205,3081.021867381454
2025-07-16,2164,2182.5846390079178,1300.020252481001,3065.1490255348344
2025-07-17,2153,2182.0555539249235,1299.4911673980068,3064.61994045184
2025-07-21,2121,2172.0365541590195,1289.4721676321028,3054.600940685936
2025-07-22,2117,2150.9895311811065,1268.4251446541898,3033.553917708023
2025-07-23,2111,2149.054001478698,1266.4896149517813,3031.6183880056146
2025-07-24,2096,2148.5249163957037,1265.960529868787,3031.0893029226204
2025-07-27,2088,2137.9339076493397,1255.369521122423,3020.4982941762564
2025-07-28,2080,2139.592744922914,1257.0283583959972,3022.1571314498306
2025-07-29,2072,2152.0763594742207,1269.511972947304,3034.6407460011374
2025-07-30,2063,2151.3367834526516,1268.772396925735,3033.9011699795683
